ZONAS,NOMBRE ZONAS,,,cliente zona,ZonaTransp,,,,,ZonaTransp,Zona Entrega,RutReal,Denominación
,,,,9100733609,DD13100023,,,,,,,,
,,,,9100733969,DD13100024,,,,,,,,
,,,,9100734979,DD13100001,,,,,,,,
,,,,9100735422,DD13100029,,,,,,,,
,,,,9100735547,DD13100016,,,,,,,,
,,,,9100735762,DD13100011,,,,,,,,
,,,,9100735783,DD13100050,,,,,,,,
,,,,9100735784,DD13100050,,,,,,,,
,,,,9100736185,DD13100054,,,,,,,,
,,,,9100736213,DD13100054,,,,,,,,
,,,,9100736215,DD13100054,,,,,,,,
,,,,9100736216,DD13100045,,,,,,,,
,,,,9100736219,DD13100054,,,,,,,,
,,,,9100736220,DD13100054,,,,,,,,
,,,,9100736222,DD13100045,,,,,,,,
,,,,9100736227,DD13100054,,,,,,,,
,,,,9100736228,DD13100054,,,,,,,,
,,,,9100736229,DD13100054,,,,,,,,
,,,,9100736235,DD13100045,,,,,,,,
,,,,9100736244,DD13100054,,,,,,,,
,,,,9100736259,DD13100045,,,,,,,,
,,,,9100736266,DD13100045,,,,,,,,
,,,,9100736272,DD13100045,,,,,,,,
,,,,9100736273,DD13100045,,,,,,,,
,,,,9100736411,DD13100054,,,,,,,,
,,,,9100736469,DD13100054,,,,,,,,
,,,,9100736471,DD13100054,,,,,,,,
,,,,9100736476,DD13100054,,,,,,,,
,,,,9100736486,DD13100051,,,,,,,,
,,,,9100736601,DD13100054,,,,,,,,
,,,,9100736670,DD13100016,,,,,,,,
,,,,9100736806,DD13100013,,,,,,,,
,,,,9100737231,DD13100013,,,,,,,,
,,,,9100737399,DD13100032,,,,,,,,
,,,,9100737400,DD13100051,,,,,,,,
,,,,9100737822,DD13100011,,,,,,,,
,,,,9100738149,DD13100055,,,,,,,,
,,,,9100738166,DD13100013,,,,,,,,
,,,,9100738455,DD13100001,,,,,,,,
,,,,9100738774,DD13100051,,,,,,,,
,,,,9100739178,DD13100054,,,,,,,,
,,,,9100739591,DD13100053,,,,,,,,
,,,,9100739798,DD13100069,,,,,,,,
,,,,9100740330,DD13100006,,,,,,,,
,,,,9100740458,DD13100054,,,,,,,,
,,,,9100740503,DD13100069,,,,,,,,
,,,,9100741999,DD13100031,,,,,,,,
,,,,9100742280,DD13100034,,,,,,,,
,,,,9100742290,DD13100063,,,,,,,,
,,,,9100742484,DD13100001,,,,,,,,
,,,,9100742503,DD13100058,,,,,,,,
,,,,9100742644,DD13100013,,,,,,,,
,,,,9100742664,DD13100054,,,,,,,,
,,,,9100742665,DD13100054,,,,,,,,
,,,,9100742712,DD13100020,,,,,,,,
,,,,9100742873,DD13100069,,,,,,,,
,,,,9100743172,DD13100018,,,,,,,,
,,,,9100743215,DD47100029,,,,,,,,
,,,,9100743554,DD13100029,,,,,,,,
,,,,9100743595,DD13100054,,,,,,,,
,,,,9100743597,DD13100054,,,,,,,,
,,,,9100743608,DD13100054,,,,,,,,
,,,,9100743845,DD13100011,,,,,,,,
,,,,9100743868,DD13100018,,,,,,,,
,,,,9100744181,DD13100032,,,,,,,,
,,,,9100744232,DD13100011,,,,,,,,
,,,,9100744307,DD13100001,,,,,,,,
,,,,9100745043,DD13100017,,,,,,,,
,,,,9100745325,DD13100002,,,,,,,,
,,,,9100745447,DD13100008,,,,,,,,
,,,,9100745478,DD13100068,,,,,,,,
,,,,9100745490,DD13100068,,,,,,,,
,,,,9100745792,DD13100029,,,,,,,,
,,,,9100745910,DD13100055,,,,,,,,
,,,,9100745929,DD13100054,,,,,,,,
,,,,9100745932,DD13100054,,,,,,,,
,,,,9100746500,DD13100069,,,,,,,,
,,,,9100746832,DD13100050,,,,,,,,
,,,,9100746967,,,,,,,,,
,,,,9100746984,DD13100001,,,,,,,,
,,,,9100746992,DD13100023,,,,,,,,
,,,,9100747036,DD13100011,,,,,,,,
,,,,9100747472,DD13100058,,,,,,,,
,,,,9100747490,DD13100051,,,,,,,,
,,,,9100747591,DD13100020,,,,,,,,
,,,,9100747927,DD13100034,,,,,,,,
,,,,9100747929,DD13100058,,,,,,,,
,,,,9100747990,DD13100054,,,,,,,,
,,,,9100748119,DD13100053,,,,,,,,
,,,,9100748120,DD13100068,,,,,,,,
,,,,9100748566,DD13100053,,,,,,,,
,,,,9100749021,DD13100029,,,,,,,,
,,,,9100749745,DD13100054,,,,,,,,
,,,,9100749940,DD13100030,,,,,,,,
,,,,9100750130,DD13100008,,,,,,,,
,,,,9100750645,DD13100017,,,,,,,,
,,,,9100750650,DD13100067,,,,,,,,
,,,,9100750914,DD13100045,,,,,,,,
,,,,9100750960,DD13100027,,,,,,,,
,,,,9100751000,DD13100054,,,,,,,,
,,,,9100751056,DD13100053,,,,,,,,
,,,,9100751813,DD13100054,,,,,,,,
,,,,9100751859,DD13100019,,,,,,,,
,,,,9100751879,DD13100019,,,,,,,,
,,,,9100752144,DD13100050,,,,,,,,
,,,,9100752643,DD13100050,,,,,,,,
,,,,9100752651,DD13100050,,,,,,,,
,,,,9100752730,DD13100019,,,,,,,,
,,,,9100752742,DD13100026,,,,,,,,
,,,,9100752760,DD13100026,,,,,,,,
,,,,9100752860,DD13100055,,,,,,,,
,,,,9100755440,DD13100068,,,,,,,,
,,,,9100755589,DD13100034,,,,,,,,
,,,,9100755605,DD13100013,,,,,,,,
,,,,9100755674,DD13100013,,,,,,,,
,,,,9100755818,DD13100053,,,,,,,,
,,,,9100755962,DD13100008,,,,,,,,
,,,,9100756104,DD13100060,,,,,,,,
,,,,9100756188,DD13100067,,,,,,,,
,,,,9100756365,DD13100017,,,,,,,,
,,,,9100756398,DD13100007,,,,,,,,
,,,,9100756793,DD13100011,,,,,,,,
,,,,9100756802,DD13100054,,,,,,,,
,,,,9100756811,DD13100023,,,,,,,,
,,,,9100756820,DD13100011,,,,,,,,
,,,,9100756958,DD13100033,,,,,,,,
,,,,9100757467,DD13100031,,,,,,,,
,,,,9100757477,DD13100031,,,,,,,,
,,,,9100757707,DD13100067,,,,,,,,
,,,,9100758135,DD13100058,,,,,,,,
,,,,9100758269,DD13100017,,,,,,,,
,,,,9100758280,DD13100016,,,,,,,,
,,,,9100758360,DD13100002,,,,,,,,
,,,,9100759429,DD13100058,,,,,,,,
,,,,9100759507,DD13100053,,,,,,,,
,,,,9100759612,DD13100024,,,,,,,,
,,,,9100759837,DD13100050,,,,,,,,
,,,,9100759982,DD13100058,,,,,,,,
,,,,9100760072,DD13100053,,,,,,,,
,,,,9100760131,DD13100008,,,,,,,,
,,,,9100760596,DD13100007,,,,,,,,
,,,,9100760817,DD13100026,,,,,,,,
,,,,9100761557,DD13100055,,,,,,,,
,,,,9100761572,DD13100012,,,,,,,,
,,,,9100761780,DD13100029,,,,,,,,
,,,,9100761848,DD13100024,,,,,,,,
,,,,9100761923,DD13100061,,,,,,,,
,,,,9100762486,DD13100018,,,,,,,,
,,,,9100762714,DD13100003,,,,,,,,
,,,,9100764052,DD13100015,,,,,,,,
,,,,9100764101,DD13100007,,,,,,,,
,,,,9100764653,DD13100054,,,,,,,,
,,,,9100764737,DD13100019,,,,,,,,
,,,,9100764969,DD13100004,,,,,,,,
,,,,9100764980,DD13100016,,,,,,,,
,,,,9100765744,DD13100007,,,,,,,,
,,,,9100765851,DD13100018,,,,,,,,
,,,,9100766575,DD13100053,,,,,,,,
,,,,9100766615,DD13100058,,,,,,,,
,,,,9100767153,DD13100023,,,,,,,,
,,,,9100767161,DD13100053,,,,,,,,
,,,,9100767546,DD13100007,,,,,,,,
,,,,9100767754,DD13100068,,,,,,,,
,,,,9100767890,DD13100063,,,,,,,,
,,,,9100770429,DD13100054,,,,,,,,
,,,,9100771401,DD13100068,,,,,,,,
,,,,9100772092,DD13100000,,,,,,,,
